1,Programming,"or(concept('programming'), concept('software and applications'), concept('software engineering'), concept('computer programming languages'), concept('coding'), concept('development'), concept('software architecture'), concept('web development'), concept('mobile app development'))"
2,Health and Fitness,"or(concept('health'), concept('fitness'), concept('exercise'), concept('nutrition'), concept('athlete'), concept('fitness activities'))"
3,Travel,"or(concept('travel'), concept('backpacking'), concept('luxury travel'), concept('destinations'))"
4,Food and Cooking,"or(concept('food'), concept('cooking'), concept('recipes'), concept('gourmet cuisine'), concept('comfort food'))"
5,Music,"or(concept('music'), concept('genres'), concept('artists'), concept('musical instrument'), concept('classical'), concept('hip hop'))"
6,Sports,"or(concept('sports'), concept('football'), concept('basketball'), concept('teams'))"
7,Fashion,"or(concept('fashion'), concept('haute couture'), concept('streetwear'), concept('trends'), concept('styles'))"
8,Art and Design,"or(concept('arts and entertainment'), concept('handicrafts'), concept('painting'), concept('graphic design'))"
9,Business and Entrepreneurship,"or(concept('business'), concept('entrepreneurship'), concept('startups'), concept('companies'))"
10,Education,"or(concept('education'), concept('K-12'), concept('higher education'), concept('knowledge'))"
11,Photography,"or(concept('photography'), concept('landscape'), concept('portrait photography'), concept('shutterbug'))"
12,Science and Technology,"or(concept('science'), concept('technology'), concept('scientific discoveries'), concept('research'), concept('emerging technologies'), concept('space exploration'), concept('quantum computing'), concept('hardware'), concept('smartphones'), concept('AI'))"
13,Parenting,"or(concept('parenting'), concept('raising children'), concept('newborns'), concept('teenagers'), concept('parenthood'))"
14,Politics,"or(concept('politics'), concept('news'), concept('events'), concept('opinions'), concept('local politics'), concept('global politics'))"
15,Environment and Sustainability,"or(concept('environment'), concept('sustainability'), concept('green living'), concept('climate change'), concept('renewable energy'))"
16,Beauty and Skincare,"or(concept('beauty'), concept('skincare'), concept('makeup'), concept('product recommendations'))"
17,Literature,"or(concept('literature'), concept('books'), concept('literary events'), concept('classic literature'), concept('contemporary fiction'))"
18, CSE Department, "or(concept('computer science'), concept('engineering'), concept('innovation'), concept('research'), concept('curriculum'), concept('hands-on learning'))"
19, ECE Department, "or(concept('electronics'), concept('communication engineering'), concept('practical applications'), concept('skills'), concept('expertise'), concept('technology'))"
20, Mech Department, "or(concept('mechanical engineering'), concept('diverse community'), concept('ingenuity'), concept('solving challenges'), concept('innovation'), concept('interdisciplinary collaboration'))"
21, Cyberlabs, "or(concept('web development'), concept('Android'), concept('machine learning'), concept('UI/UX design'), concept('workshops'), concept('projects'), concept('digital innovation'))"
22, CodeIsm, "or(concept('programming languages'), concept('immersive courses'), concept('expert mentorship'), concept('proficiency'), concept('coding skills'), concept('software development'))"
23, Badminton, "or(concept('dynamic sport'), concept('agility'), concept('speed'), concept('precision'), concept('rackets'), concept('shuttlecock'), concept('health benefits'))"
24, Cricket, "or(concept('sporting excellence'), concept('cricketing talent'), concept('camaraderie'), concept('matches'), concept('team spirit'), concept('fair play'))"
25, Art and Design, "or(concept('creativity'), concept('handicrafts'), concept('visual arts'), concept('creative expression'), concept('inspiration'))"
26, Manthon, "or(concept('singing club'), concept('vocal talents'), concept('musical styles'), concept('rehearsals'), concept('performances'), concept('collaborative projects'))"
27, LITM, "or(concept('dancing club'), concept('movement'), concept('choreography'), concept('training'), concept('performances'), concept('dance styles'))"
